analysis_unit,legacy_metric,structural_metric,n,spearman_rho
problem_model_prompt,loc,ssi,2459,-0.6220717172480977
problem_model_prompt,sloc,ssi,2459,-0.5691932439647065
problem_model_prompt,cc_avg,ssi,2459,-0.38774998553132306
problem_model_prompt,cc_max,ssi,2459,-0.3933881856913258
problem_model_prompt,cc_sum,ssi,2459,-0.39223510648827736
problem_model_prompt,halstead_volume,ssi,2459,-0.40666435968488085
problem_model_prompt,halstead_difficulty,ssi,2459,-0.33329973973086297
problem_model_prompt,halstead_effort,ssi,2459,-0.4029684087000367
problem_model_prompt,maintainability_index,ssi,2459,-0.12047365798948602
problem_model_prompt,token_length,ssi,2459,-0.6461163132281188
