group_type,group_name,metric,n_problems,mean,ci_low,ci_high
model,claude_model,ssi,164,0.9525914424914366,0.9361449892138692,0.9667179072390687
model,deepseek_model,ssi,164,0.8872261022287606,0.8658147988745354,0.9079739821465111
model,gpt5_model,ssi,164,0.5485187091937366,0.5270842676970193,0.5694633079337833
model,claude_model,pssi,164,0.22095797591121696,0.16334679321447831,0.2866056731290639
model,deepseek_model,pssi,164,0.25807782793434314,0.19758453182479838,0.3286125607207203
model,gpt5_model,pssi,164,0.702483164865042,0.6421850918390342,0.7681698583848707
model,claude_model,sds,164,0.19371922573764883,0.14243532271145407,0.25306648213618393
model,deepseek_model,sds,164,0.26460496521321264,0.20294966382007384,0.33462090668924144
model,gpt5_model,sds,164,0.8667077607094994,0.7887853735378871,0.9491184519460478
model,claude_model,human_eval_plus_pass_rate,164,0.9441463414634147,0.9092682926829269,0.9736585365853659
model,deepseek_model,human_eval_plus_pass_rate,164,0.9148780487804877,0.8719512195121951,0.953170731707317
model,gpt5_model,human_eval_plus_pass_rate,164,0.8968292682926828,0.856091463414634,0.9339024390243901
