problem_id,task_id,problem_label,pssi,avg_prompt_distance,success_rate
humaneval_081,HumanEval/81,HE-81,2.6208056284719814,2.6208056284719814,0.92
humaneval_064,HumanEval/64,HE-64,2.560266284360751,2.560266284360751,0.9466666666666667
humaneval_129,HumanEval/129,HE-129,2.136475757133721,2.136475757133721,0.8799999999999999
humaneval_027,HumanEval/27,HE-27,1.9270445516569101,1.9270445516569101,1.0
humaneval_052,HumanEval/52,HE-52,1.912032807371155,1.912032807371155,1.0
humaneval_095,HumanEval/95,HE-95,1.8107894558350115,1.8107894558350115,1.0
humaneval_032,HumanEval/32,HE-32,1.789566030122555,1.789566030122555,0.6666666666666666
humaneval_096,HumanEval/96,HE-96,1.7535945226717284,1.7535945226717284,1.0
humaneval_072,HumanEval/72,HE-72,1.7145141816256422,1.7145141816256422,1.0
humaneval_104,HumanEval/104,HE-104,1.685035071032092,1.685035071032092,1.0
